epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,600.51,1.47375,2.02876,1.52661,0.32966,0.6,0.29782,0.06783,2.83682,3.91554,2.64159,0.0011684,0.0011684,0.0011684
44,614.266,1.43546,1.7735,1.54827,0.32966,0.6,0.29782,0.06783,2.83682,3.91554,2.64159,0.0011486,0.0011486,0.0011486
45,1706.79,1.41039,2.00561,1.56904,0.39327,0.4,0.2519,0.05206,2.64602,3.73525,2.53387,0.0011288,0.0011288,0.0011288
46,1725.04,1.23651,1.73462,1.42116,0.39327,0.4,0.2519,0.05206,2.64602,3.73525,2.53387,0.001109,0.001109,0.001109
47,1739.54,1.22415,1.71979,1.40895,0.63355,0.4,0.40742,0.05391,2.77734,3.46394,2.68271,0.0010892,0.0010892,0.0010892
48,1752.3,1.35829,2.05416,1.49124,0.63355,0.4,0.40742,0.05391,2.77734,3.46394,2.68271,0.0010694,0.0010694,0.0010694
49,1765.25,1.29979,1.88376,1.4503,0.38406,0.4,0.19404,0.03796,2.79098,3.59161,2.65065,0.0010496,0.0010496,0.0010496
50,1778.2,1.35455,1.71529,1.4298,0.38406,0.4,0.19404,0.03796,2.79098,3.59161,2.65065,0.0010298,0.0010298,0.0010298
51,1791.42,1.19751,1.49804,1.31025,0.00275,1,0.07063,0.01458,2.5227,4.0035,2.37371,0.00101,0.00101,0.00101
52,1804.6,1.28215,1.6128,1.38923,0.00275,1,0.07063,0.01458,2.5227,4.0035,2.37371,0.0009902,0.0009902,0.0009902
53,1817.52,1.124,1.55291,1.28978,0.43799,0.2,0.10132,0.01721,2.7211,3.86387,2.6059,0.0009704,0.0009704,0.0009704
54,1830.25,1.15908,1.70321,1.32172,0.43799,0.2,0.10132,0.01721,2.7211,3.86387,2.6059,0.0009506,0.0009506,0.0009506
